date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_cargo,portcalls,import_container,export_container
2022-10-18,2022,10,18,port1201,Singapore,Singapore,SGP,49,59,128,668430,691049
2022-10-19,2022,10,19,port1201,Singapore,Singapore,SGP,43,52,129,738733,417987
2022-10-20,2022,10,20,port1201,Singapore,Singapore,SGP,36,50,118,338598,677609
2022-10-21,2022,10,21,port1201,Singapore,Singapore,SGP,36,43,105,779089,617507
2022-10-22,2022,10,22,port1201,Singapore,Singapore,SGP,23,33,90,458531,327977
2022-10-23,2022,10,23,port1201,Singapore,Singapore,SGP,40,52,98,874085,526521
2022-10-24,2022,10,24,port1201,Singapore,Singapore,SGP,39,57,139,906525,544288
2022-10-25,2022,10,25,port1201,Singapore,Singapore,SGP,39,54,133,472817,482862
2022-10-26,2022,10,26,port1201,Singapore,Singapore,SGP,40,55,120,811261,543794
2022-10-27,2022,10,27,port1201,Singapore,Singapore,SGP,37,47,107,499819,691097
2022-10-28,2022,10,28,port1201,Singapore,Singapore,SGP,41,50,113,433943,577013
2022-10-29,2022,10,29,port1201,Singapore,Singapore,SGP,42,56,111,801607,544079
2022-10-30,2022,10,30,port1201,Singapore,Singapore,SGP,35,45,112,317993,613271
2022-10-31,2022,10,31,port1201,Singapore,Singapore,SGP,36,52,131,644797,527765
2022-11-01,2022,11,1,port1201,Singapore,Singapore,SGP,44,55,112,358015,581308
2022-11-02,2022,11,2,port1201,Singapore,Singapore,SGP,43,54,133,677287,416201
2022-11-03,2022,11,3,port1201,Singapore,Singapore,SGP,39,51,121,961214,497932
2022-11-04,2022,11,4,port1201,Singapore,Singapore,SGP,34,41,124,342932,422043
